889f0a6f59fffff,4.0
889f0a6f49fffff,11.0
889f0a6e65fffff,1.0
889f0a6e63fffff,1.0
889f0a6addfffff,74.0
889f0a6ad3fffff,97.0
889f0a6ad1fffff,22.0
889f0a6acbfffff,8.0
889f0a6325fffff,2.0
889f0a6237fffff,6.0
889f0a61b7fffff,1.0
889f0a61b3fffff,1.0
889f0a616bfffff,1.0
889f0a6163fffff,7.0
889f0a613dfffff,1.0
889f0a6137fffff,3.0
889f0a6135fffff,34.0
889f0a6131fffff,1.0
889f0a612bfffff,3.0
889f0a6107fffff,1.0
889f0a60ebfffff,5.0
889f0a60cdfffff,27.0
889f0a60c7fffff,11.0
889f0a60c5fffff,35.0
889f0a60c1fffff,223.0
889f0a6089fffff,11.0
889f0a6087fffff,1.0
889f0a6081fffff,19.0
889f0a6057fffff,18.0
889f0a6055fffff,1.0
889f0a6053fffff,11.0
889f0a6051fffff,10.0
889f0a604bfffff,23.0
889f0a6049fffff,7.0
889f0a6041fffff,1.0
889f0a601bfffff,6.0
889f0a6019fffff,17.0
889f0a6017fffff,1.0
889f0a6013fffff,5.0
889f0a6011fffff,10.0
889ead99e3fffff,10.0
889e3336ddfffff,108.0
889e3336d7fffff,1.0
889e3336d5fffff,1.0
889e3336cdfffff,1.0
889e3336cbfffff,2.0
889e3336c7fffff,228.0
889e3336c1fffff,1.0
889e33368dfffff,58.0
889e333689fffff,53.0
889e333687fffff,1.0
889e333683fffff,2.0
889e333681fffff,36.0
889e332f6bfffff,102.0
889e332f65fffff,1.0
889e332f63fffff,123.0
889e332f53fffff,6.0
889e332f47fffff,6.0
889e332f43fffff,21.0
889e332f31fffff,10.0
889e332f17fffff,26.0
889e332f15fffff,10.0
889e332f0dfffff,1.0
889e332f0bfffff,41.0
889e332f09fffff,41.0
889e332f07fffff,1.0
889e332f05fffff,20.0
889e332e21fffff,7.0
889e332d5bfffff,93.0
889e332d59fffff,46.0
889e332d57fffff,172.0
889e332d55fffff,9.0
889e332d53fffff,1.0
889e332d47fffff,1.0
889e332d3dfffff,128.0
889e332d39fffff,23.0
889e332d35fffff,69.0
889e332d31fffff,48.0
889e332d1dfffff,38.0
889e332d0bfffff,252.0
889e332d07fffff,1.0
889e332d05fffff,4.0
889e332d03fffff,61.0
889e332c6dfffff,47.0
889e332c67fffff,19.0
889e332c65fffff,181.0
889e332c61fffff,56.0
889e332c45fffff,1.0
889e332ab7fffff,26.0
889e332ab3fffff,1.0
889e3328d9fffff,14.0
889e3328d5fffff,2.0
889e3328d1fffff,145.0
889e3328c3fffff,510.0
889e3328a9fffff,1.0
889e3328a5fffff,46.0
889e332889fffff,3.0
889e332885fffff,47.0
889e33271bfffff,10.0
889e332717fffff,131.0
889e332713fffff,20.0
889e332711fffff,13.0
889e3326adfffff,194.0
889e3326abfffff,8.0
889e3326a9fffff,104.0
889e33269dfffff,56.0
889e332691fffff,133.0
889e33268dfffff,17.0
889e332687fffff,329.0
889e332685fffff,26.0
889e332681fffff,18.0
889e332667fffff,3.0
889e332663fffff,52.0
889e33262dfffff,26.0
