886596ccb7fffff,1.0
886596ccb5fffff,10.0
886596cca3fffff,3.0
886596cca1fffff,1.0
886596ade3fffff,24.0
886596add5fffff,15.0
886596adc7fffff,8.0
886596adbdfffff,7.0
886596adb5fffff,4.0
886596adabfffff,45.0
886596ada9fffff,29.0
886596ad8dfffff,22.0
886596ad89fffff,11.0
886596ad87fffff,12.0
886596ad85fffff,22.0
886596ad81fffff,10.0
886596796bfffff,340.0
8865967969fffff,305.0
88659678e5fffff,240.0
886596776bfffff,2.0
8865967769fffff,15.0
8865967767fffff,57.0
8865967763fffff,12.0
8865967761fffff,34.0
886596775dfffff,10.0
8865967755fffff,21.0
8865967753fffff,12.0
8865967751fffff,12.0
8865967749fffff,14.0
8865967745fffff,8.0
8865967743fffff,18.0
8865967741fffff,2.0
886596773dfffff,3.0
886596773bfffff,17.0
8865967739fffff,60.0
8865967737fffff,8.0
8865967735fffff,4.0
8865967731fffff,7.0
886596772dfffff,1.0
886596772bfffff,6.0
8865967729fffff,26.0
8865967727fffff,78.0
8865967725fffff,1.0
8865967723fffff,60.0
8865967721fffff,82.0
886596771dfffff,21.0
8865967717fffff,12.0
8865967715fffff,14.0
8865967713fffff,11.0
8865967711fffff,40.0
886596770dfffff,1.0
886596770bfffff,3.0
8865967709fffff,12.0
8865967707fffff,1.0
8865967705fffff,18.0
8865967703fffff,134.0
8865967701fffff,44.0
88659676edfffff,33.0
88659676e9fffff,328.0
88659676e7fffff,99.0
88659676e5fffff,65.0
88659676e3fffff,197.0
88659676e1fffff,164.0
88659676ddfffff,10.0
88659676dbfffff,37.0
88659676d9fffff,2.0
88659676d7fffff,59.0
88659676d5fffff,55.0
88659676d3fffff,14.0
88659676d1fffff,1.0
88659676cdfffff,39.0
88659676cbfffff,2.0
88659676c9fffff,3.0
88659676c7fffff,64.0
88659676c5fffff,30.0
88659676c3fffff,2.0
88659676c1fffff,30.0
88659676bdfffff,7.0
88659676bbfffff,340.0
88659676b9fffff,8.0
88659676b7fffff,282.0
88659676b5fffff,52.0
88659676b3fffff,596.0
88659676b1fffff,188.0
88659676abfffff,15.0
88659676a9fffff,1.0
88659676a7fffff,14.0
88659676a5fffff,25.0
88659676a3fffff,12.0
886596769dfffff,69.0
886596769bfffff,51.0
8865967699fffff,3.0
8865967697fffff,169.0
8865967695fffff,118.0
8865967693fffff,84.0
8865967691fffff,8.0
886596768dfffff,26.0
886596768bfffff,62.0
8865967689fffff,64.0
8865967687fffff,7.0
8865967685fffff,3.0
8865967683fffff,18.0
886596766dfffff,3.0
8865967669fffff,4.0
886596765dfffff,19.0
8865967659fffff,2.0
8865967657fffff,58.0
8865967655fffff,20.0
8865967653fffff,1.0
8865967651fffff,109.0
886596764bfffff,69.0
8865967649fffff,35.0
8865967643fffff,7.0
886596763bfffff,61.0
8865967639fffff,38.0
8865967637fffff,34.0
8865967635fffff,12.0
8865967633fffff,182.0
8865967631fffff,1.0
886596762dfffff,7.0
8865967629fffff,1.0
8865967621fffff,15.0
886596761bfffff,143.0
8865967619fffff,25.0
8865967617fffff,1.0
8865967615fffff,13.0
8865967611fffff,12.0
886596760bfffff,7.0
8865967607fffff,11.0
8865967605fffff,2.0
8865967603fffff,8.0
88659675ebfffff,2.0
88659675d5fffff,3.0
88659675cbfffff,2.0
88659675c9fffff,22.0
88659675c7fffff,4.0
88659675c5fffff,6.0
88659675c3fffff,3.0
88659675adfffff,16.0
88659675a9fffff,1.0
88659675a3fffff,1.0
88659675a1fffff,73.0
886596759bfffff,2.0
8865967593fffff,3.0
8865967591fffff,2.0
886596756dfffff,7.0
8865967569fffff,25.0
8865967563fffff,41.0
886596755dfffff,1.0
886596755bfffff,2.0
8865967559fffff,28.0
8865967557fffff,4.0
8865967555fffff,6.0
8865967551fffff,13.0
886596754dfffff,39.0
886596754bfffff,2.0
8865967549fffff,66.0
8865967547fffff,2.0
8865967545fffff,73.0
8865967543fffff,4.0
8865967541fffff,10.0
886596753dfffff,194.0
886596753bfffff,1.0
8865967539fffff,147.0
8865967533fffff,1.0
886596752bfffff,40.0
8865967523fffff,1.0
886596751dfffff,73.0
886596751bfffff,2.0
8865967519fffff,160.0
8865967515fffff,84.0
8865967513fffff,1.0
8865967511fffff,7.0
886596750dfffff,806.0
886596750bfffff,12.0
8865967509fffff,3.0
8865967507fffff,216.0
8865967505fffff,1723.0
8865967503fffff,3.0
8865967501fffff,75.0
88659674edfffff,10.0
88659674e9fffff,10.0
88659674e7fffff,1.0
88659674e5fffff,4.0
88659674e3fffff,1.0
88659674ddfffff,23.0
88659674dbfffff,26.0
88659674d9fffff,41.0
