8819527aedfffff,16.0
8819527aebfffff,57.0
8819527ae9fffff,11.0
8819527ae7fffff,19.0
8819527ae5fffff,11.0
8819527ae3fffff,44.0
8819527ae1fffff,20.0
8819527addfffff,77.0
8819527adbfffff,341.0
8819527ad9fffff,95.0
8819527ad7fffff,670.0
8819527ad5fffff,64.0
8819527ad3fffff,716.0
8819527ad1fffff,461.0
8819527acdfffff,72.0
8819527acbfffff,41.0
8819527ac9fffff,103.0
8819527ac7fffff,48.0
8819527ac5fffff,63.0
8819527ac3fffff,32.0
8819527ac1fffff,71.0
8819527abdfffff,11.0
8819527abbfffff,103.0
8819527ab9fffff,36.0
8819527ab5fffff,58.0
8819527ab1fffff,162.0
8819527aadfffff,49.0
8819527aabfffff,50.0
8819527aa9fffff,84.0
8819527aa7fffff,30.0
8819527aa5fffff,39.0
8819527aa3fffff,101.0
8819527aa1fffff,40.0
8819527a9dfffff,2730.0
8819527a9bfffff,1171.0
8819527a99fffff,2403.0
8819527a97fffff,921.0
8819527a95fffff,252.0
8819527a93fffff,870.0
8819527a91fffff,1607.0
8819527a8dfffff,39.0
8819527a8bfffff,1374.0
8819527a89fffff,165.0
8819527a87fffff,6.0
8819527a83fffff,93.0
8819527a81fffff,125.0
8819527a3dfffff,29.0
8819527a3bfffff,12.0
8819527a39fffff,56.0
8819527a37fffff,27.0
8819527a35fffff,39.0
8819527a33fffff,39.0
8819527a31fffff,10.0
8819527a1dfffff,34.0
8819527a1bfffff,68.0
8819527a17fffff,32.0
8819527a15fffff,4.0
8819527a13fffff,33.0
8819527a11fffff,21.0
8819527a03fffff,21.0
88195279ebfffff,60.0
88195279e9fffff,50.0
88195279e7fffff,41.0
88195279e5fffff,40.0
88195279ddfffff,64.0
88195279d5fffff,81.0
88195279cdfffff,61.0
88195279cbfffff,59.0
88195279c7fffff,203.0
88195279c5fffff,62.0
88195279c3fffff,123.0
88195279c1fffff,29.0
88195279bdfffff,8.0
88195279b9fffff,46.0
88195279b3fffff,85.0
88195279adfffff,24.0
88195279a9fffff,47.0
88195279a7fffff,26.0
88195279a3fffff,41.0
88195279a1fffff,7.0
881952799dfffff,18.0
881952799bfffff,58.0
8819527997fffff,48.0
8819527995fffff,88.0
8819527993fffff,48.0
881952798dfffff,69.0
881952798bfffff,8.0
8819527989fffff,4.0
8819527987fffff,21.0
8819527985fffff,68.0
8819527983fffff,11.0
8819527981fffff,17.0
8819527963fffff,78.0
8819527961fffff,36.0
881952795bfffff,35.0
8819527959fffff,36.0
8819527957fffff,15.0
8819527953fffff,38.0
8819527951fffff,69.0
8819527939fffff,72.0
881952792dfffff,151.0
8819527929fffff,21.0
8819527923fffff,68.0
881952791dfffff,62.0
881952791bfffff,46.0
8819527917fffff,75.0
8819527905fffff,78.0
8819527903fffff,15.0
88195278e9fffff,84.0
88195278ddfffff,153.0
88195278dbfffff,86.0
88195278d9fffff,16.0
88195278d7fffff,46.0
88195278d3fffff,128.0
88195278d1fffff,143.0
88195278cdfffff,34.0
88195278cbfffff,37.0
88195278c9fffff,29.0
88195278bbfffff,170.0
88195278b9fffff,108.0
88195278b7fffff,60.0
88195278b3fffff,67.0
88195278b1fffff,14.0
88195278adfffff,24.0
88195278a9fffff,82.0
881952789dfffff,169.0
8819527899fffff,157.0
8819527897fffff,18.0
8819527895fffff,28.0
8819527891fffff,97.0
881952788dfffff,58.0
881952788bfffff,69.0
8819527885fffff,66.0
8819527883fffff,254.0
8819527881fffff,153.0
881952786bfffff,28.0
8819527867fffff,30.0
8819527865fffff,59.0
8819527863fffff,81.0
8819527861fffff,36.0
881952785dfffff,25.0
881952785bfffff,38.0
8819527859fffff,5.0
8819527857fffff,36.0
8819527855fffff,29.0
8819527853fffff,45.0
8819527851fffff,30.0
881952784bfffff,19.0
8819527849fffff,15.0
8819527847fffff,41.0
8819527845fffff,37.0
8819527843fffff,9.0
8819527841fffff,38.0
881952783dfffff,28.0
881952783bfffff,33.0
8819527839fffff,34.0
8819527837fffff,13.0
8819527835fffff,14.0
8819527831fffff,76.0
881952782dfffff,26.0
881952782bfffff,45.0
8819527829fffff,21.0
8819527825fffff,58.0
8819527823fffff,22.0
8819527821fffff,16.0
881952781dfffff,19.0
881952781bfffff,56.0
8819527819fffff,8.0
8819527815fffff,88.0
8819527811fffff,34.0
881952780dfffff,33.0
881952780bfffff,47.0
8819527809fffff,7.0
8819527807fffff,23.0
8819527805fffff,60.0
8819527803fffff,9.0
8819527801fffff,23.0
881952776dfffff,82.0
881952776bfffff,28.0
8819527769fffff,44.0
8819527767fffff,132.0
8819527765fffff,53.0
8819527763fffff,79.0
8819527761fffff,80.0
881952775dfffff,113.0
8819527755fffff,9.0
881952774dfffff,50.0
881952774bfffff,56.0
8819527749fffff,132.0
8819527747fffff,61.0
8819527745fffff,73.0
8819527743fffff,58.0
8819527741fffff,14.0
881952772dfffff,34.0
881952772bfffff,42.0
8819527729fffff,69.0
8819527725fffff,48.0
8819527721fffff,123.0
881952770dfffff,98.0
881952770bfffff,47.0
8819527709fffff,50.0
8819527707fffff,68.0
8819527705fffff,64.0
8819527703fffff,45.0
8819527701fffff,56.0
8819527353fffff,56.0
881952733bfffff,13.0
8819527337fffff,10.0
8819527335fffff,18.0
8819527329fffff,62.0
8819527323fffff,84.0
8819527321fffff,97.0
881952731bfffff,20.0
8819527319fffff,2.0
88195272edfffff,1.0
88195272ebfffff,47.0
88195272e9fffff,13.0
88195272d7fffff,43.0
88195272c7fffff,62.0
88195272bbfffff,47.0
88195272b9fffff,27.0
88195272b7fffff,21.0
88195272b5fffff,46.0
88195272b3fffff,14.0
88195272a7fffff,39.0
88195272a5fffff,33.0
88195272a3fffff,27.0
88195272a1fffff,3.0
881952729dfffff,153.0
881952729bfffff,24.0
8819527299fffff,124.0
8819527297fffff,53.0
8819527295fffff,81.0
8819527293fffff,82.0
8819527291fffff,110.0
881952728dfffff,3.0
881952728bfffff,631.0
8819527289fffff,36.0
8819527283fffff,239.0
8819527281fffff,108.0
881952723dfffff,88.0
881952723bfffff,10.0
8819527237fffff,11.0
8819527235fffff,55.0
8819527233fffff,5.0
8819527231fffff,57.0
881952722dfffff,51.0
8819527227fffff,110.0
8819527225fffff,57.0
8819527223fffff,145.0
8819527221fffff,105.0
88195271edfffff,110.0
88195271ebfffff,55.0
88195271e9fffff,33.0
88195271e7fffff,332.0
88195271e5fffff,7.0
88195271e3fffff,1.0
88195271e1fffff,4.0
88195271ddfffff,81.0
88195271dbfffff,125.0
88195271d9fffff,171.0
88195271d5fffff,87.0
88195271d1fffff,54.0
88195271cdfffff,79.0
88195271cbfffff,39.0
88195271c9fffff,132.0
88195271c7fffff,66.0
88195271c5fffff,106.0
88195271c3fffff,40.0
88195271c1fffff,8.0
88195271bdfffff,61.0
88195271b5fffff,570.0
88195271adfffff,99.0
88195271abfffff,1245.0
88195271a9fffff,7.0
88195271a7fffff,1262.0
88195271a5fffff,1215.0
88195271a3fffff,2386.0
88195271a1fffff,910.0
8819527189fffff,60.0
8819527187fffff,497.0
881952715dfffff,1.0
881952715bfffff,29.0
8819527159fffff,1.0
8819527157fffff,159.0
8819527155fffff,21.0
8819527153fffff,101.0
8819527151fffff,40.0
881952714bfffff,12.0
8819527149fffff,137.0
881952713dfffff,52.0
881952713bfffff,138.0
8819527139fffff,75.0
8819527137fffff,56.0
8819527135fffff,68.0
8819527133fffff,45.0
8819527131fffff,61.0
881952712bfffff,55.0
8819527127fffff,55.0
8819527123fffff,66.0
881952711dfffff,56.0
881952711bfffff,78.0
8819527119fffff,66.0
8819527117fffff,131.0
8819527115fffff,66.0
8819527113fffff,12.0
8819527111fffff,57.0
881952710bfffff,75.0
8819527107fffff,72.0
8819527103fffff,74.0
8819527101fffff,52.0
88195270e9fffff,5.0
88195270e7fffff,122.0
88195270e5fffff,28.0
88195270e3fffff,27.0
88195270ddfffff,44.0
88195270dbfffff,62.0
88195270d7fffff,79.0
88195270d5fffff,55.0
88195270d3fffff,79.0
88195270d1fffff,32.0
88195270cdfffff,34.0
88195270cbfffff,35.0
88195270c9fffff,53.0
88195270c7fffff,28.0
88195270c5fffff,15.0
88195270c3fffff,51.0
88195270c1fffff,22.0
881952708dfffff,9.0
881952708bfffff,88.0
8819527089fffff,18.0
8819527081fffff,96.0
881952706dfffff,3.0
8819527057fffff,6.0
8819527055fffff,4.0
8819527053fffff,16.0
881952704dfffff,33.0
881952704bfffff,17.0
8819527049fffff,55.0
8819527043fffff,5.0
8819527041fffff,46.0
881952703dfffff,6.0
881952703bfffff,50.0
8819527039fffff,1.0
8819527037fffff,61.0
8819527035fffff,77.0
8819527033fffff,92.0
8819527031fffff,4.0
881952702dfffff,67.0
881952702bfffff,4.0
8819527027fffff,135.0
8819527025fffff,126.0
8819527023fffff,112.0
8819527021fffff,4.0
881952701dfffff,6.0
881952701bfffff,43.0
8819527019fffff,3.0
8819527015fffff,11.0
8819527013fffff,13.0
8819527011fffff,20.0
8819526f6dfffff,49.0
8819526f69fffff,82.0
8819526f5dfffff,93.0
8819526f59fffff,72.0
8819526f53fffff,111.0
8819526f4bfffff,57.0
8819526f49fffff,26.0
8819526f45fffff,22.0
8819526f41fffff,20.0
8819526f3dfffff,93.0
8819526f39fffff,61.0
8819526f31fffff,113.0
8819526f2bfffff,34.0
8819526f29fffff,10.0
8819526f23fffff,108.0
8819526f19fffff,176.0
8819526f17fffff,31.0
8819526f15fffff,43.0
8819526f11fffff,35.0
8819526f0dfffff,90.0
8819526f0bfffff,5.0
8819526f07fffff,56.0
8819526f05fffff,33.0
8819526f03fffff,95.0
8819526f01fffff,42.0
8819526ee7fffff,95.0
8819526ee5fffff,21.0
8819526ee3fffff,51.0
8819526eddfffff,49.0
8819526edbfffff,28.0
8819526ed9fffff,68.0
8819526ed7fffff,43.0
8819526ed5fffff,80.0
8819526ed3fffff,80.0
8819526ed1fffff,180.0
8819526ecdfffff,90.0
8819526ecbfffff,42.0
8819526ec9fffff,24.0
8819526ec7fffff,48.0
8819526ec3fffff,89.0
8819526ec1fffff,23.0
8819526ebdfffff,42.0
8819526ebbfffff,18.0
8819526eb9fffff,37.0
8819526eb7fffff,5.0
8819526eb5fffff,25.0
8819526eb3fffff,23.0
8819526eb1fffff,23.0
8819526eadfffff,104.0
8819526eabfffff,14.0
8819526ea9fffff,95.0
8819526ea7fffff,64.0
8819526ea5fffff,102.0
8819526ea3fffff,69.0
8819526ea1fffff,10.0
8819526e9dfffff,46.0
8819526e9bfffff,71.0
8819526e99fffff,41.0
8819526e97fffff,69.0
8819526e95fffff,33.0
8819526e93fffff,72.0
8819526e91fffff,76.0
8819526e8dfffff,76.0
8819526e8bfffff,29.0
8819526e89fffff,74.0
8819526e87fffff,57.0
8819526e85fffff,53.0
8819526e83fffff,42.0
8819526e81fffff,55.0
8819526e6dfffff,35.0
8819526e6bfffff,168.0
8819526e69fffff,56.0
8819526e67fffff,32.0
8819526e65fffff,27.0
8819526e63fffff,1642.0
8819526e61fffff,13.0
8819526e59fffff,82.0
8819526e57fffff,56.0
8819526e55fffff,41.0
8819526e53fffff,112.0
8819526e4dfffff,68.0
8819526e4bfffff,41.0
8819526e45fffff,69.0
8819526e39fffff,140.0
8819526e37fffff,51.0
8819526e33fffff,121.0
8819526e31fffff,75.0
8819526e2dfffff,29.0
8819526e29fffff,78.0
8819526e21fffff,162.0
8819526e1dfffff,2.0
8819526e1bfffff,41.0
8819526e19fffff,5.0
8819526e17fffff,130.0
8819526e15fffff,28.0
8819526e13fffff,11.0
8819526e11fffff,34.0
8819526e0dfffff,258.0
8819526e09fffff,57.0
8819526e07fffff,26.0
8819526e05fffff,40.0
